"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Kios Santoso","Kios","164","285","1","2012","","","","","",""
"UD. Jaya Rizky","Pupuk Dan Obat-obatan Pertanian","210","393","2","2012","","","","","",""
"UD. Siem Baru","Penjualan Snack","124","321","1","2012","","","","","",""
"Toko Mawar","Penjualan Sembako","117","107","1","2012","","","","","",""
"Warung Manisan Indi","Dagang Makanan","7.5","18","2","2011","","","","","",""
"Warung Valen","Warung","21.5","48","2","2011","","","","","",""
"Warung Kartika","Warung Kelontong","13","54","1","2011","","","","","",""
"Warung Kelontongan","Dagang Kelontongan","16","147","1","2011","","","","","",""
"I A G (Istana Aksesoris Gaul)","Dagang Asesoris","940","1,350","2","2008","","","","","",""
"Hetty","Dagang Sembako","267.2","600","2","2008","","","","","",""
"UD Horti","Dagang Sarana Produksi Pertanian","515","60","2","2008","","","","","",""
"Toko Sepatu Dan Sandal","Dagang Sepau Dan Sandal","37.5","180","1","2010","","","","","",""
"Toko Topi Dan Aksesoris","Dagang Topi Dan Aksesoris Sekolah","25.6","58","1","2010","","","","","",""
"Dagang Ayam Kampung -Sopiah","Dagang Ayam Kampung","14","390","1","2010","","","","","",""
"Kios Jajanan Dan Snack","Dagang Snack","30.5","84","1","2010","","","","","",""
"Kios Snack Dan Kelontongan (Wiwik)","Dagang Sembako","84.5","528","2","2010","","","","","",""
"Toko Pakaian -Nasrul","Dagang Pakaian","54.5","75","2","2010","","","","","",""
"Warung Kelontongan","Warung Kelontongan","59","114","1","2010","","","","","",""
"Toko Kelontongan","Dagang Kelontongan","55","667","2","2010","","","","","",""
"RM. Vicky Vinus","Rumah Makan","17","60.6","2","2011","","","","","",""
"Warung Manisan","Dagang","10.3","60","1","2011","","","","","",""
"Mie Bakso Widodo","Lintas Liwa","4","261","1","2011","","","","","",""
"Warung Widya","Perdagangan","25.3","63","2","2011","","","","","",""
"Konter Pulsa","Konter Pulsa","16.2","126","1","2011","","","","","",""
"Warung Manisan","Dagang Makanan","22","60","2","2011","","","","","",""
"Warung Ibu Handa","Warung Kelontong","35","24","1","2011","","","","","",""
"Kios Kue (Budi Yanto)","Dagang Kue","29","180","1","2010","","","","","",""
"Kios Sayuran (Muslimatun)","Dagang Sayuran","3","62.79","1","2010","","","","","",""
"Jambo Bada","Caf","2","92","4","2011","","","","","",""
"Salman Sanusi","Jual Minyak","377","150","2","2011","","","","","",""
"Warung Karin","Toko Kelontong","31","36","2","2012","","","","","",""
"Warung Sayur & Sembako","Warung Sayur","35","48","2","2012","","","","","",""
"Sinar Mulia","Alat Tulis","271","420","2","2010","","","","","",""
"Toko Sarni","Sembako","141.1","114","1","2010","","","","","",""
"Warung Indah","Sembako","186.75","55.5","1","2010","","","","","",""
"Wr. Kelontongan Tahi M.","Kelontongan","71.5","60","1","2010","","","","","",""
"Toko Mbak War","Dagang Retail","107.5","42","0","2010","","","","","",""
"Muhsin Colection","Penjualan Busana","36.5","94","1","2010","","","","","",""
"Kios Ramlah","Kios Sembako","81","291","1","2012","","","","","",""
"Bengkel Motor Arema","Bengkel Motor","71","75","2","2012","","","","","",""
"Kios Ani","Kios","260","50","2","2012","","","","","",""
"KEDAI SAMPAH IRSA","KEDAI SAMPAH","221.63","406","3","2011","","","","","",""
"Centra Cell","M-Kios, Counter","848","2,760","1","2012","","","","","",""
"Bengkel Dinamo Agung","Bengkel Dinamo","61","57","2","2012","","","","","",""
"Kios Titin","Kios","195","72","0","2012","","","","","",""
"Bengkel Motor Thio","Bengkel Motor","15","62","2","2012","","","","","",""
"Warung Rizki","Warung Sembako Dan Sayuran","35","39","2","2012","","","","","",""
"Toko Kelontong","Toko Kelontong","41","72","2","2012","","","","","",""
"Toko Kelontong","Toko Kelontong","60","97","2","2012","","","","","",""
"Usaha Telur Asin","Penjualan Telur Asin","30","49","2","2012","","","","","",""
"Warung Sembako","Warung Sembako Dan Sayuran","43","162","1","2012","","","","","",""
"Toko Kelontong","Warung Sembako Dan Sayuran","50","126","3","2012","","","","","",""
"Warung Sayuran & Pecel Umbas","Warung Sayur","38","146","2","2012","","","","","",""
"Indie Cell","Kounter HP","48","190","3","2012","","","","","",""
"Warung Raihan Roziq","Warung Sembako","63","162","1","2012","","","","","",""
"AA Cell","Penjualan Pulsa (kounter)","33","120","3","2012","","","","","",""
"Warung Anggoro","Toko Kelontong","66","78","2","2012","","","","","",""
"Topi Dan Peci Bawah Tangga","Perlengkapan Sholat","266","11.4","0","2010","","","","","",""
"Variasi Motor Caca","Variasi Motor","55.9","12.3","0","2010","","","","","",""
"Toko Surya","Minimarket","344.5","660","0","2010","","","","","",""
"Toko Riski","Alat Listrik","410","39","0","2010","","","","","",""
"Toko Firdaus","Sepatu","182","46","2","2010","","","","","",""
"Warung Geje","Warung Klontongan","335.5","111.5","0","2010","","","","","",""
"Gina Ponsel","Dagang Voucher Handphone","18","108","2","2008","","","","","",""
"Bengkel Eko","Bengkel Motor","77","30","1","2012","","","","","",""
"Warung Kelontong","Warung Kelontong","29","68","1","2012","","","","","",""
"Warung Dani","Warung Kelontong","35","25","1","2012","","","","","",""
"Warung Puput","Warung","47","36","2","2012","","","","","",""
"Warung Sayuran","Warung Sayuran","69","30","1","2012","","","","","",""
"Warung Hernandes","Warung Kelontong","19","30","1","2012","","","","","",""
"Warung Nazar","Warung Kelontong","31","36","1","2012","","","","","",""
"RM Soto Kudus","Soto Kudus","29","56","2","2012","","","","","",""
"Toko Iwan","Warung Kelontong","53","60","1","2012","","","","","",""
"Warung Fandi","Warung Kelontong","35","48","1","2012","","","","","",""
"Warung Isnawati","Warung Kelontong","31","21","1","2012","","","","","",""
"Warung Bu Ani","Dagang","28","36","1","2012","","","","","",""
"Warung Bu Nani","Warung Kelontong","49","64","1","2012","","","","","",""
"Bengkel Enjoy","Bengkel","21","45","1","2012","","","","","",""
"Warung Kelontong","Dagang Makanan Dan Minuman","34","42","2","2012","","","","","",""
"Warung Dinda","Warung Makan","27","26","2","2012","","","","","",""
"Sonic Seluler","Konter HP","14","48","1","2012","","","","","",""
"Baju Maimanah","Menjual Baju","158.25","240","1","2010","","","","","",""
"Warung Arpan","Warung Manisan","307","524","3","2010","","","","","",""
"Toko Alidiyah","Dagang Meubel","60.8","260","3","2008","","","","","",""
"Mawar Jaya","Dagang Pot Bunga","38.02","40.5","3","2008","","","","","",""
"Sumber Biru","Toko Pracangan","77.6","236.4","2","2009","","","","","",""
"Nasi Goreng "" MAS DEDI""","Nasi Dan Mie Goreng","135","164","2","2011","","","","","",""
"Toko Emperor","Dagang Mainan","194.5","1,350","5","2008","","","","","",""
"Ghefira Nurseri","Dagang Tanaman Hias","166.65","72","5","2008","","","","","",""
"Taman Ageta","Dagang Tanaman Hias","10,034.10","32","1","2008","","","","","",""
"Dea Nursery","Dagang Tanaman Hias","156.45","130","2","2008","","","","","",""
"Distro Jessy Du","Dagang Pakaian","55.6","170","1","2008","","","","","",""
"Istana Jam","Jual Jam Tangan Dan Kacamata","863","516","3","2013","","","","","",""
"Toko Ilham","Dagang Beras","80.75","540","2","2008","","","","","",""
"Toko Berkah","Dagang Beras","28.28","175","2","2008","","","","","",""
"Aftar Aquarium","Dagang Ikan Hias","34.34","108","2","2008","","","","","",""
"UD Sunaryo","Dagang Material Bangunan","357","120","7","2008","","","","","",""
"Alya Collection","Dagang Tas dan Sandal","78.8","162","4","2008","","","","","",""
"Rapi Handycraft","Dagang Tas Natural","22.2","85","2","2008","","","","","",""
"Jual Beli Barang Bekas Marlan","Barang Bekas","5","432","1","2013","","","","","",""
"Toko Baju Snaken","Pakaian","113","500","1","2013","","","","","",""
"Sendal Sejahtera","Sendal","116","360","1","2013","","","","","",""
"Toko Sembako Jayadi","Sembako","16.3","180","1","2013","","","","","",""
"Warung Sembako Irhan","Sembako","110.5","480","2","2013","","","","","",""
"Toko Rajut","Tas Rajut","21","600","1","2013","","","","","",""
"Toko Ningrum","Kelontongan","130","720","1","2013","","","","","",""
"Tenda Kemah ""Iriyanto""","Tenda Kemah","7","72","1","2013","","","","","",""
"Toko Karta","Sembako","130","108","2","2013","","","","","",""
"Surya Kecana","Peralatan Listrik","110.5","600","1","2013","","","","","",""
"Masker Pak Gunawan","Masker","10.9","108","1","2013","","","","","",""
"Mainan Bude Kelapa","Mainan","8.9","108","1","2013","","","","","",""
"Not Available","Perdagangan","24","324","7","2011","","","","","",""
"NA","Perdagangan Pulsa","62.5","1,715","2","2011","","","","","",""
"My Funny Felt","Perdagangan Aksesoris","169","45","3","2011","","","","","",""
"WARUNG NASI","RUMAH MAKAN","15","564","6","2012","","","","","",""
"OLA STIKER","STIKER","9","63","1","2012","","","","","",""
"MALA PULSA","PONSEL","42","13","3","2012","","","","","",""
"ARKUN CITY","ATK","12","156","1","2012","","","","","",""
"BENGKEL SERVIS","SERVIS,JUAL SPARE PART","8","2","2","2012","","","","","",""
"USAHA AIR ISI ULANG","AIR ISI ULANG","35","92","3","2012","","","","","",""
"USAHA AIR ISI ULANG","AIR ISI ULANG","41","83","2","2012","","","","","",""
"AIR ISI ULANG","AIR ISI ULANG","38","348","2","2012","","","","","",""
"YAN SERVICE","Bengkel Sepeda Motor","36","62","1","2012","","","","","",""
"UD. FITRI","Jual Barang Kelontong","18","432","3","2012","","","","","",""
"PENJUAL CD COMPACT","DVD/VCD","18","72","2","2012","","","","","",""
"RUMAH MAKAN","RUMAH MAKAN","616","246","3","2012","","","","","",""
"KIOS SALE DAN BUAH","PISANG SALE","23","396","2","2012","","","","","",""
"RANGKANG TRIENG","MAKANAN/MINUMAN","9","504","5","2012","","","","","",""
"Kios Homan","Dagang Pancarekenan","60.17","108","1","2008","","","","","",""
"Kios Hambali","Dagang Beras","107","180","5","2008","","","","","",""
"Hj. Maspah","Dagang Tanggui","81.5","40","3","2008","","","","","",""
"Warung Linda","Dagang Makanan & Minuman Ringan","5.5","121","2","2008","","","","","",""
"Toko H.M. Misran","Dagang Karpet","160.5","725","4","2008","","","","","",""
"Thamrin Phone Cell","Dagang Handphone, Aksesoris, pulsa","7.8","174","3","2008","","","","","",""
"Toko Budhi Bersama","Dagang sembako dan pancarekenan","11.15","108","3","2008","","","","","",""
"Rahman Cake","Dagang kue basah dan kue kering","34.4","411","6","2008","","","","","",""
"Toko Amplang","Dagang Amplang","34.4","528","1","2008","","","","","",""
"Toko Kembar","Dagang bahan bangunan","31.2","109.5","3","2008","","","","","",""
"Norhayati","Dagang Pancarekenan","2.45","28","3","2008","","","","","",""
"Asdiyah","Dagang Pancarekenan","4.25","66","1","2008","","","","","",""
"Minyak Harum Kasrian","Dagang Minyak Harum","6.5","47.5","1","2008","","","","","",""
"Kios Busana Hamliah","Dagang Busana perempuan","11.5","109","1","2008","","","","","",""
"Kios Baju Ridwan Kusnadi","Dagang Baju anak muda","13.5","111","1","2008","","","","","",""
"Kios Buku Tajidinnor","Dagang Buku","8.5","107","1","2008","","","","","",""
"Toko Asty","Dagang Gula, telur","21.1","122","1","2008","","","","","",""
"Palopo Phonecell","Dagang Voucher dan Aksesoris HP","23","290","1","2008","","","","","",""
"Kios Hesty","Rumah Makan","27.5","169","1","2008","","","","","",""
"Gorengan Bambang","Dagang Goreng-gorengan (tahu, tempe, pisang goreng)","1.5","114","1","2008","","","","","",""
"Kios Amilia","Dagang Beras","15","364","1","2008","","","","","",""
"Al- Syario Parfum","Dagang Parfum","8.5","114","1","2008","","","","","",""
"Anang Helmi","Dagang Bensin","2.5","106","1","2008","","","","","",""
"Kios Ikhsan","Dagang Sembako, makanan dan minuman ringan","14","249","1","2008","","","","","",""
"Kios Iqbal","Dagang Beras","17.5","180","1","2008","","","","","",""
"Dagang Sembako","Dagang Kelontongan","51.5","18","1","2012","","","","","",""
"Yeyen Ponsel","Dagang Pulsa","94","60","2","2008","","","","","",""
"Tanaman Hias Jali","Dagang Tanaman Hias","88","168","4","2008","","","","","",""
"Alfa Cell","Dagang HP dan Asesoris HP","27.9","122","1","2008","","","","","",""
"Uasaha Tanaman Hias Bachtiar","Dagang Tanaman Hias","45.75","144","2","2008","","","","","",""
"WARUNG ANGGREINI","WARUNG","39","55.2","3","2010","","","","","",""
"ROSALINA","WARUNG SEMBAKO","54","81.6","2","2010","","","","","",""
"RIFEN","PERDAGANGAN","38","72","2","2010","","","","","",""
"Usaha Tanaman Hias Dg. Erang","Dagang Tanaman Hias","68","291","4","2008","","","","","",""
"Pedagang Asongan","Pedagang Kaki Lima","72.2","72","1","2012","","","","","",""
"KIOS DIMAS","JUAL SEMBAKO","56","93","1","2011","","","","","",""
"Toko Mulia Jaya","Toko Mulia Jaya","590","2,900","2","2013","","","","","",""
"Toko Calvi","Dagang Campuran","1,015","3,510","4","2013","","","","","",""
"Bengkel Sarjono","Bengkel Motor","30","60","0","2009","","","","","",""
"Kopi Bubuk","Kopi Bubuk","56","162","2","2009","","","","","",""
"Pembuatan Kacang Bawang","Pembuatan Kacang","66","72","1","2009","","","","","",""
"Dhika Cell","Counter HP Dan Pulsa","117","204","1","2009","","","","","",""
"Warung Manisan","Warung Manisan","14","156","2","2009","","","","","",""
"Toko Ajok Cell","Dagang Manisan Eceran","84.15","72","2","2009","","","","","",""
"Warung Rokok","Dagang Rokok","105","36","1","2009","","","","","",""
"Warung Nora","Warung Manisan","30","48","1","2009","","","","","",""
"Winsi Cell","Counter HP","195","204","1","2009","","","","","",""
"Tambal Ban Tubeles","Tambal Ban","66.5","25","1","2009","","","","","",""
"Toko Klontongan Mulyadi","Toko Klontongan","68","54","1","2009","","","","","",""
"Kios Mawar","Dagang Campuran","30","72","2","2013","","","","","",""
"Toko Berkat","Dagang Campuran","2,000","4,865","10","2013","","","","","",""
"CV Anugerah Jaya","Sembako & Bahan Bangunan","1,099.50","3,072","5","2013","","","","","",""
"Toko Sentiasa","Toko Serba Ada","1,597","4,950","14","2013","","","","","",""
"Salon Dian","Salon","55.55","120","4","2010","","","","","",""
"Sumber Rizki","Toko Manisan Sumber Rizki","595.6","240","2","2010","","","","","",""
"Null","Dagang Koran","53","996","1","2008","","","","","",""
"Null","Dagang Udang","73.8","1,170","1","2008","","","","","",""
"Ud. Avit","Dagang Ikan Asin","8.5","126","1","2008","","","","","",""
"Distributor Kerajinan Ukiran","Pedagang Kerajinan","240","240","5","2012","","","","","",""
"UD. Setia","Pedagang Sembako","305","600","1","2012","","","","","",""
"Toko Fatimah","Toko","3.25","25.8","1","2013","","","","","",""
"Camilan","Dagang Tempe & Sale","156.34","552","6","2008","","","","","",""
"Null","Dagang Kelapa","102.05","351.2","1","2008","","","","","",""
"Null","Dagang Sayur Mayur","51.2","381","1","2008","","","","","",""
"Jongko Melati Karya Mandiri","Dagang Tanaman Hias","35.8","72","4","2008","","","","","",""
"Pedagang Barang Pecah Belah","Pedagang Pecah Belah","105","60","1","2012","","","","","",""
"Toko Raka","Dagang Sembako","75","720","1","2008","","","","","",""
"Dahlia","Dagang Pakaian","75.75","210","2","2008","","","","","",""
"Hartati","Dagang Pakaian","74","108","2","2008","","","","","",""
"Penjual Jamu","Dagang Jamu","231.4","54","2","2008","","","","","",""
"Penjual Jamu","Dagang Jamu","248","52","2","2008","","","","","",""
"Peternak Ayam","Dagang Ayam Potong","431","420","4","2008","","","","","",""
"Penjual Bunga Dan Buah","Dagang Bunga Dan Buah","267","55","5","2008","","","","","",""
"UD. Yakin","Dagang Ukir Batu Nisan","7.25","96","2","2008","","","","","",""
"Muhtar","Dagang Buah-Buahan","8.2","152","3","2008","","","","","",""
"-","Dagang Keranjang Sampah","166","240","3","2008","","","","","",""
"Lilik Safaat","Dagang Sandal","88","33.5","1","2008","","","","","",""
"Arizona Cell","Jual Pulsa","22","30","0","2010","","","","","",""
"Warung Muslimah","Warung","145","48","1","2010","","","","","",""
"Jaya Cell","Jual Pulsa","22","48","0","2010","","","","","",""
"Fotocopy Dan Percetakan Usman","Fotocopy","88","84","3","2010","","","","","",""
"Photocopy Agung","Foto Copy","127","72","1","2010","","","","","",""
"Bowo Cell","Pulsa","110","36","0","2010","","","","","",""
"Kue Tart","Kue Tart","71","40","0","2010","","","","","",""
"Gallery Seni Sutanto","Lukisan","14.5","21.75","2","2010","","","","","",""
"Aneka Rotan Nanang","Kerajinan Rotan","13.5","10.8","0","2010","","","","","",""
"Warung Nasi Uduk Lontong Sayur","Nasi Uduk","2","4.5","2","2010","","","","","",""
"Nisa Cell","Toko ATK","0","0","2","2012","","","","","",""
"Bengkel Samosir","Jasa Bengkel","0","0","1","2012","","","","","",""
"Warung Tessa","Warung Sembako","0","0","2","2008","","","","","",""
"Toko Obat Fitri","Obat-Obatan","0","0","1","2012","","","","","",""
"Pondok Bakso Moro Manteb","Warung Makan","0","0","3","2012","","","","","",""
"Warung Sembako Pak Dhe","Sembako","0","0","1","2012","","","","","",""
"Little Kidz","Pakaian Anak-Anak","0","0","1","2012","","","","","",""
"Kedai Kopi Surya Gemilang","Minuman Kopi","0","0","1","2012","","","","","",""
"Dewata Nawa Art","Dagang Lukisan","396.1","38","1","2008","","","","","",""
"-","Dagang Telur Asin dan Rengginan","181","0","3","2008","","","","","",""
"-","Dagang Wajan, Panci Aluminium","82.75","6","1","2008","","","","","",""
"-","Dagang Strawberry dan Tanaman Hias","162.6","12","4","2008","","","","","",""
"Mutiara Hijau","Dagang Enceng Gondok","144.5","0","50","2008","","","","","",""
"Toko Hamas","Dagang Makanan Ternak dan Obat-obatan Ternak","178","0","2","2008","","","","","",""
"Shinta Coolection","Dagang Kalung","326","23","1","2008","","","","","",""
"AS Perabot","Perabot","70.5","52","5","2009","","","","","",""
"Kue Sapik Mayura","Kue Sapik","413.3","23.8","3","2009","","","","","",""
"Usaha Dagang Warung","Dagang Rempah Rempah","70","373.12","2","2009","","","","","",""
"Toko""Putri""","Toko Pracangan","74.2","186","2","2009","","","","","",""
"Rumah Makan ""Fitri""","Rumah Makan","33","176","4","2009","","","","","",""
"AgungMotor","Bengkel Sepeda Motor","131","117","2","2009","","","","","",""
"Paji Widodo","Perdagangan Tanaman Hias","438","360","10","2009","","","","","",""
"Toko Putra Makmur","Dagang Sembako","422","2,430","5","2008","","","","","",""
"Toko Sukses Jaya","Dagang Sembako","99.75","360","1","2008","","","","","",""
"Toko Joni Jaya","Dagang Barang-barang Plastik","92.5","384","1","2008","","","","","",""
"Toko Wasiat","Dagang Kelontong","194.5","48","1","2008","","","","","",""
"Toko Ninik","Dagang Kelontong","324.5","144","3","2008","","","","","",""
"Tole Phone Cell","Dagang Voucher Handphone","559.65","84","1","2008","","","","","",""
"Nafi Cell","Dagang Voucher Handphone","258.7","72","1","2008","","","","","",""
"Toko Sederhana","Toko Kebutuhan Sehari-hari","145","415","1","2012","","","","","",""
"Kerupuk Karak","Kerupuk Nasi","31.5","48","2","2009","","","","","",""
"Fariasi Kendraan","Penjualan Suku Cadang Motor","84.8","320","3","2009","","","","","",""
"Risna Wati.SP","Sulaman Izuzi Indah","85","134","7","2009","","","","","",""
"Narnia Cell","Dagang Voucher dan Handphone","271.5","120","1","2008","","","","","",""
"Wolu Cell","Dagang Voucher dan Handphone","66.5","176","1","2008","","","","","",""
"Dhani Cell","Dagang Voucher Handphone","148","95","1","2008","","","","","",""
"Mekar Sejahtera","Dagang Kelontong","100","960","1","2008","","","","","",""
"Aura Cell","Menjual Pulsa","12","103.5","0","2011","","","","","",""
"Toko Sama Senang","Menjual Acsesoris","60.1","270","2","2011","","","","","",""
"Kios Akbar","Sembako","91","243","2","2013","","","","","",""
"Kios Cobodoe Indah","Sembako","143","24","1","2013","","","","","",""
"Kios Nurhayat","Sembako","71","40","1","2013","","","","","",""
"Nabillas Artshop","Dagang Barang Kerajinan","34","312","1","2008","","","","","",""
"Mertha Asih Shop","Dagang Tedung","190","184","1","2008","","","","","",""
"Hendra Handicraft","Dagang Barang Kerajinan","178","12","1","2008","","","","","",""
"Toko Fajar","Dagang Palen-Palen","220","60","1","2008","","","","","",""
"Sari Kembang Ukir","Dagang Barang Kerajinan","22","26","1","2008","","","","","",""
"Ridwan Tas","Dagang Tas","28","84","2","2008","","","","","",""
"Yasa Art","Dagang Lukisan","36","30","1","2008","","","","","",""
"Niki Karya","Dagang Krey","188.82","145","2","2008","","","","","",""
"Kios & Depot Isi Ulang Ariq","Sembako & Air Galon","424","502","3","2012","","","","","",""
"Kios Bensin La Lin","Dagang BBM","218","178","1","2012","","","","","",""
"Bengkel Erwin Motor","Jasa Bengkel Mobil","722","175","4","2012","","","","","",""
"Kios Sanusi","Sembako","50","27","1","2013","","","","","",""
"UD. Sumber Karya Indah","Dagang Krey","39.5","141","3","2008","","","","","",""
"Wirna Collection","Dagang Pakaian","35","176","1","2008","","","","","",""
"Focus Desaign","Dagang Barang Kerajinan","545","730","2","2008","","","","","",""
"Sumber Rezeki","Dagang Krey","44.69","165","2","2008","","","","","",""
"Nizmah Lamp","Dagang Lampu","40","156","1","2008","","","","","",""
"Bali Amanah","Dagang Lampu","56","882","4","2008","","","","","",""
"Millena","Dagang Pakaian","20","192","2","2008","","","","","",""
"Ris Nadi","Dagang Barang Kerajinan","52","81","1","2008","","","","","",""
"Tedung Bali","Dagang Tedung","22.5","18","1","2008","","","","","",""
"Toko Pakaian Ibu Murni","Dagang Pakaian","28","120","1","2008","","","","","",""
"Cafetaria Fakultas Ekonomi UNUD","Dagang Makanan dan Minuman","46","222","6","2008","","","","","",""
"Toko Artha","Dagang Sembako","164","177.5","1","2008","","","","","",""
"Dagang Pakaian Bella","Dagang Pakaian","16.6","89.5","1","2008","","","","","",""
"Warung Bu Gama","Dagang Makanan dan Minuman","54.53","55.5","1","2008","","","","","",""
"UD Paramita","Dagang ATK","48.5","70","1","2008","","","","","",""
"Warung Bu Lili","Dagang Makanan dan Minuman","27","82.5","1","2008","","","","","",""
"Kios Putri Seluler","Bensin Solar","160.5","18","3","2012","","","","","",""
"Kios Adi Jaya","Bensin Dan Solar","241.1","9.6","1","2012","","","","","",""
"Kios Bensin Putra","Bensin Dan Solar","103.5","7.2","1","2012","","","","","",""
"Kios Rafina","Solar Dan Bensin","115","18","1","2012","","","","","",""
"Kios Marimoi","Sembako","45","128","1","2013","","","","","",""
"Toko Sabar","Dagang Makan dan Minuman","39","216","1","2008","","","","","",""
"Toko Dupa Radig","Dagang Dagang Perlengkapan Sembahyang","6.05","102","1","2008","","","","","",""
"Cafe Pandawa","Dagang Pasir","520","2,640","11","2008","","","","","",""
"Toko Candri","Dagang Perlengkapan Sembahyang","22.2","50","5","2008","","","","","",""
"Dagang Buah Made Suadi","Dagang Perlengkapan Sembahyang","10","102","1","2008","","","","","",""
"Aloha","Dagang Perlengkapan Sembahyang","35.5","60","2","2008","","","","","",""
"Abadi Collection","Dagang Alas Kaki","372","292","1","2008","","","","","",""
"Sandra Tas","Dagang Tas dan Sepatu","434","29","2","2008","","","","","",""
"USAHA KELONTONG","KELONTONG","25","70","1","2012","","","","","",""
"TOKO BANGUNAN","TOKO BANGUNAN","360","148","1","2012","","","","","",""
"USAHA KELONTONG","KELONTONG","177","260","1","2012","","","","","",""
"USAHA KELONTONG","KOSMETIK","31","17","1","2012","","","","","",""
"PEDAGANG GAS LPG","Penjual Gas","16","101","2","2012","","","","","",""
"USAHA KELONTONG","KELONTONG","25","10","2","2011","","","","","",""
"Toko Klontong Katirin","Toko Klontong","215","903.67","2","2011","","","","","",""
"Toko Klontong Atta","Toko Klontong","217","903.67","2","2011","","","","","",""
"Depot Jamu Solihin","Depot Jamu","35","144","2","2011","","","","","",""
"Toko Baju Sri","Toko Pakaian","36.5","240","2","2011","","","","","",""
"Dagang Sayuran Topik","Dagang Sayuran","265","145.23","2","2011","","","","","",""
"Warung Rizki","Warung","19.7","72","1","2010","","","","","",""
"Lontar Jaya Ban","Dagang Ban Mobil","22","222","2","2008","","","","","",""
"LG Ban","Dagang Ban dan Velg Mobil","120","22.66","3","2008","","","","","",""
"Warung Tuti","Dagang makanan ringan","8","35","2","2008","","","","","",""
"Bubur Ayam Kholid","Dagang Bubur Ayam","7","18.33","2","2008","","","","","",""
"Warung Onggo","Dagang makanan dan minuman","35.2","26.2","2","2008","","","","","",""
"Kios DJ Celullar","Dagang Voucher HP","110","45","2","2008","","","","","",""
"RM Ayam Kremes","Dagang ayam goreng","25.6","108","2","2008","","","","","",""
"RM Gado-Gado","Dagang gado-gado dan soto","5","60","1","2008","","","","","",""
"Toko Aneka Bumbu","Dagang bumbu masakan","22.5","132","1","2008","","","","","",""
"Blue Corner","Dagang Pelumas dan jasa bengkel","355.87","27.75","4","2008","","","","","",""
"Toko Nana","Dagang barang kelontong","207","58.75","2","2008","","","","","",""
"Tambak Hijau Caf","Restoran / Caf","364","52","5","2011","","","","","",""
"Agung Dian Egg Painting","Dagang Papan Nama","316.25","37.5","4","2008","","","","","",""
"Sri Rezeki","Dagang Krey","33.4","172.8","2","2008","","","","","",""
"Made Bantar Wood Carving And Antiques","Dagang Barang Kerajinan","48","155","2","2008","","","","","",""
"Zambu Plash","Dagang Tas","88","1,200","2","2008","","","","","",""
"Rizki Via","Dagang Patung","52","780","6","2008","","","","","",""
"Febry Shop","Dagang Kap Lampu","12","190","2","2008","","","","","",""
"Clarissa Art","Dagang Lukisan","26.5","143","4","2008","","","","","",""
"Chevio Artshop","Dagang Papan Nama","17","96.5","1","2008","","","","","",""
"Eling Shop","Dagang Mozaik","20","275","3","2008","","","","","",""
"Virani Artshop","Dagang Patung","22","170","2","2008","","","","","",""
"ASSESORIS HP","Assesoris","23","43.2","2","2011","","","","","",""
"PERBENGKELAN SUJAI","Perbengkelan","46.5","216","2","2011","","","","","",""
"AGRA","Pedagang Baso","50","57.6","2","2011","","","","","",""
"LAEM FASHION","Dagang Pakaian","21","60","1","2011","","","","","",""
"WAWAN SEMBAKO","Sembako","10","49.2","1","2011","","","","","",""
"TEKSTIL KAIN","Dagang Pakaian","25","60","1","2011","","","","","",""
"WARUNG NASI IPAH","Warung Nasi","14","144","2","2011","","","","","",""
"WARUNG MANDIRI","SEMBAKO","12.2","27","1","2011","","","","","",""
"BERAS RIZKI","BERAS","178","620","1","2011","","","","","",""
"RM Christina","Restoran","62","79","3","2011","","","","","",""
"Usaha Penjualan Bensin","Perdagangan","53.5","48","2","2011","","","","","",""
"Bengkel Robinson","Jasa","37","64","2","2011","","","","","",""
"Kios Samuel","Perdagangan","21.75","337.5","1","2011","","","","","",""
"Naomi Ferdinandus","Pedagang Ikan","101.5","133.75","1","2011","","","","","",""
"Elidarni","Kelontong","195.7","36","1","2010","","","","","",""
"Warung Kelontong Dasori","Dagang Kelontong","207","258.02","2","2011","","","","","",""
"Toko Klontong Yulina","Toko Klontong","257.5","243.01","4","2011","","","","","",""
"Counter Pulsa Sulpiah","Counter Pulsa","198.5","204.12","2","2011","","","","","",""
"Toko Klontong Astuti","Toko Klontong","204","226.8","2","2011","","","","","",""
"Anes Bunga","Pot Bunga","62","64","3","2013","","","","","",""
"Wahyu Motor","Bengkel","57","87","2","2013","","","","","",""
"Toko Sepatu Marlinda","Toko Sepatu","33","130","2","2013","","","","","",""
"Warung Kelontong","Warung Kelontong","31","165","2","2013","","","","","",""
"Warung Sudjadi","Warung Kelontong","73","175","2","2013","","","","","",""
"Oleh-Oleh","Dagang Patung","26","155","2","2008","","","","","",""
"-","Dagang Strawberry dan Tanaman Hias","162.6","12","4","2008","","","","","",""
"Mutiara Hijau","Dagang Enceng Gondok","144.5","0","50","2008","","","","","",""
"Toko Hamas","Dagang Makanan Ternak dan Obat-obatan Ternak","178","0","2","2008","","","","","",""
"Padil Ceramics Industry Indonesia","Dagang Genteng","5,208","412.5","10","2008","","","","","",""
"Bursa Jas","Dagang jas dan dasi","56.5","24.5","1","2008","","","","","",""
