"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Indana Mardatilla","Pembibitan Anggrek","44.55","240","2","2009","","","","","",""
"Nur Rokim","Krecek Krupuk","275.28","102.4","12","2009","","","","","",""
"Ternak Itik","Ternak Itik","99","86","4","2009","","","","","",""
"Usaha Bersama","Ternak Ayam","84.31","600","12","2012","","","","","",""
"PENGUSAHA BUNGA","FLOWER","110","280","3","2012","","","","","",""
"RUDIANTO","PADI","70","192","6","2011","","","","","",""
"RAFASAH","PERTANIAN","118","30","3","2011","","","","","",""
"SUYANTO. W","PETANI SAWIT","63","18","1","2011","","","","","",""
"SAIMAN","PETERNAKAN","67","36","2","2011","","","","","",""
"TG. DARWAN","PERKEBUNAN","75","27","1","2011","","","","","",""
"SURATNO","PERKEBUNAN","132","36","3","2011","","","","","",""
"SALAMUN","PERIKANAN","117","26","2","2011","","","","","",""
"PONISA","PERTANIAN","67","16","2","2011","","","","","",""
"SAMPIRNO","PETERNAKAN","55","19","1","2011","","","","","",""
"BIBIT","PERIKANAN","54","72","3","2011","","","","","",""
"SARWAN","PETANI","188","9","5","2011","","","","","",""
"SUAMANO","PERKEBUNAN","32","20","1","2011","","","","","",""
"JUNAIDI","PETANI","27","11","1","2011","","","","","",""
"YUSDI","KERAMBA","9","144","1","2011","","","","","",""
"PONIRAN","PERIKANAN","68","0","2","2011","","","","","",""
"UNTUNG","PERKEBUNAN","82","7","1","2011","","","","","",""
"BAYU SEPAKAT","PENANGKAR BIBIT KARET","34","13","2","2011","","","","","",""
"SLAMAT","PENGUMPUL SAWIT","279","2,117","4","2011","","","","","",""
"RUSMINI","PETANI PADI","123","60","3","2011","","","","","",""
"JONI AFRIZAL","KERAMBA","10","120","1","2011","","","","","",""
"YULIDAR","TERNAK LEMBU","121","67","1","2011","","","","","",""
"ZULKIFLI","KERAMBA","16","120","1","2011","","","","","",""
"Syafruddin","Kebun Sawit","75","26","3","2011","","","","","",""
"Abdul Latif","Lembu","51","300","1","2011","","","","","",""
"Kolam Pancing Wisata","Budidaya Ikan","873","26","13","2011","","","","","",""
"Darfit","Kambing & Ayam","77","64","1","2011","","","","","",""
"KOPRA SAMAN","Koprah","20.5","86.4","5","2011","","","","","",""
"PERTANIAN PADI/SAYUR MAYUR","Tani","45","72","10","2011","","","","","",""
"John Ripuasaa","Pedagang","10","133.75","1","2011","","","","","",""
"Petani Karet Lukas","Petani Karet","189","36","1","2012","","","","","",""
"Maritje Ferdinandus","Perdagangan","8","133.75","1","2011","","","","","",""
"Jamur Tiram "" Waryanto ""","Budidaya Jamur Tiram","8,040,000","15.12","0","2011","","","","","",""
"Usaha Pembibitan Pepaya Bp. Suwadi","Pembibitan Pepaya","53,300,000","6","1","2011","","","","","",""
"Usaha Peternakan Sapi Perah Bp. Sartono","Ternak Sapi Perah","229,500,000","39.36","1","2011","","","","","",""
"BIBIT KOPI","BIBIT KOPI","153","160","1","2013","","","","","",""
"KOPI","PERTANIAN","10,850","260","1","2013","","","","","",""
"TEMBAKAU","TEMBAKAU","140,100,000","96,000","2","2013","","","","","",""
"KEBUN KOPI","KOPI,KOL,SENGON","200,600,000","60,000","3","2013","","","","","",""
"KERAMBAH APUNG","KERAMBAH APUNG","100","20,400","1","2013","","","","","",""
"KEBUN UBI JALAR","UBI JALAR","12,550","3,160","2","2013","","","","","",""
"USAHA JAGUNG","JAGUNG","5,300,000","68,000","1","2013","","","","","",""
"GULA MERAH","KEBUN TEBU","23,000,000","420,000,000","5","2013","","","","","",""
"KEBUN NENAS","KEBUN NENAS","9,100","1,280","6","2013","","","","","",""
"Lesye Saknosiwi","Berdagang Ikan","30","148.75","1","2011","","","","","",""
"Roska Nahumury","Pedagang Ikan","12.5","148.75","1","2011","","","","","",""
"Friska","Nelayan","162","285","28","2011","","","","","",""
"NELAYAN PAMBOT","NELAYAN","35","124","2","2012","","","","","",""
"PETERNAKAN ITIK","PETERNAKAN ITIK","25.8","36","7","2011","","","","","",""
"TERNAK BEBEK RAHMATULLAH","Ternak Bebek","46","60.48","2","2011","","","","","",""
"PENETASAN ITIK","Penetasan Telur Bebek","60.3","57.96","1","2011","","","","","",""
"BAROKAH","Ternak Bebek","23.5","18","4","2011","","","","","",""
"Wahyu Jamur","Budidaya Jamur Merang","16,250,000","33.6","1","2011","","","","","",""
"PETERNAK SAPI","TERNAK SAPI","240,000","180,000","2","2013","","","","","",""
"PETANI KOPI","PETANI KOPI","82,200,000","20,000,000","5","2013","","","","","",""
"KEBUN JERUK","TANI JERUK","78,200,000","18,000","2","2013","","","","","",""
"KEBUN KOPI","KEBUN KOPI","21,020","5,200","2","2013","","","","","",""
"Petani Sayuran","Bertani Sayur","167","144","2","2010","","","","","",""
"Ternak Ikan Lele M.Yusuf","Ternak Ikan Lele","36","38","4","2013","","","","","",""
"PAMBOT TWO BROTHERS","NELAYAN","34","124","1","2012","","","","","",""
"KARYA BAKTI JAMUR","Jamur Tiram","14.47","16.2","4","2011","","","","","",""
"Usaha Ternak Kambing Pak Muji","Pengiriman Kambing","83.3","33.25","13","2011","","","","","",""
"NURI HORTI","HORTIKULTURA","1,492","360","7","2011","","","","","",""
"Peternakan Puyuh","Peternakan Puyuh","268","180","2","2011","","","","","",""
"Afrizal","Tani Tembakau","32.5","20.75","1","2009","","","","","",""
"BAROKAH","Ternak Itik","235","471","9","2011","","","","","",""
"Karsun","Penjualan","98","445","1","2011","","","","","",""
"Yono","Perdagangan Ikan","87","317","1","2011","","","","","",""
"Lili","Perikanan","29","19","1","2011","","","","","",""
"The Victory","Ternak Ayam Potong","77","480","1","2012","","","","","",""
"ASRI FLORIST","Bunga","25.9","100","2","2011","","","","","",""
"Peternakan Itik","Peternakan Itik","44,000,000","266,875,000","4","2012","","","","","",""
"Aneka Unggas","Pakan Ternak, Puyuh, Ayam Dan Itik","2,213,000,000","48,000,000","3","2012","","","","","",""
"PENJUAL SAPI GDE SUDIASE","JUAL SAPI","91","196","2","2013","","","","","",""
"SUDIRMAN","JUAL AYAM BANGKOK","26","51","3","2013","","","","","",""
"PENAMPUNGAN HASIL BUMI DOMINGGUS","JUAL BELI KOMODITI HASIL BUMI","214","3,432","7","2012","","","","","",""
"PAMBOT TOLHAM","NELAYAN","135","80","1","2012","","","","","",""
"Tuah Bintan Stand Bu Ida","null","0","0","3","2012","","","","","",""
"I Water","Depot Air","0","0","2","2012","","","","","",""
"TOKO SRI WIJAYA","Beras Dan Sayuran","89","600","3","2011","","","","","",""
"WARUNG NURDIN","Kelapa","11","148","2","2011","","","","","",""
"WARUNG IBU KIBTIYAH","SAYUR MAYUR","11.9","115.2","1","2012","","","","","",""
"Ternak Ikan","Ikan Mas","98","43.5","2","2012","","","","","",""
"Bibit Ikan","Bibit Lele","99","43.2","1","2012","","","","","",""
"Usaha Jual Ikan","Jual Ikan","26.3","82","1","2012","","","","","",""
"Pengepul Ikan","Pemborong Ikan","17.05","15","2","2014","","","","","",""
"Valentinus Bineka","Peternakan Ayam","68.7","21","10","2014","","","","","",""
"Barokah Jaya","Pengecer Kayu","285","30","1","2014","","","","","",""
"Toko Buah Bahar","Buah Semangka","14.98","126","2","2014","","","","","",""
"Fish Shop","Usaha Dagang Ikan Hias","14.37","12","1","2014","","","","","",""
"Petani Kangkung Panijan","Petani Kangkung","19","15","3","2014","","","","","",""
"Perkebunan Timun","Perkebunan Timun","36","9","3","2014","","","","","",""
"Amplang Blitar","Amplang Blitar","71.5","60","3","2014","","","","","",""
"Ikan Lele","Ikan Lele","372.5","70","3","2014","","","","","",""
"Peternak Bebek","Ternak Itik","181.5","180","2","2014","","","","","",""
"Peternak Ikan Bawal","Peternak Ikan Bawal","179","13.99","3","2014","","","","","",""
"Sawit Rita","Sawit","171.5","10","2","2014","","","","","",""
"Jamur Tiram Bapak Sujo","Jamur Tiram Putih","72","49","5","2013","","","","","",""
"NA","Peternakan Babi","22","176","2","2011","","","","","",""
"UD Usaha Tani","Bibit Tanaman","395","250","10","2012","","","","","",""
"Kebun Bengkoang Dan Kacang Panjang","Bengkoang","13","402","12","2012","","","","","",""
"Kebun Pepaya Slamet Riyanto","Pepaya","19","314","5","2012","","","","","",""
"Warung Maimunah","Toko Kelontongan","67.15","144","0","2012","","","","","",""
"Bandrek Seran","Bandrek","0","0","1","2012","","","","","",""
"Pulanglah Uda","Ternak Sapi","1,070","4,640","3","2009","","","","","",""
"Usaha Tambak Ikan","Tambak Ikan","131.5","7.6","2","2009","","","","","",""
"Kolam Pancing Amir Khan","Kolam Pancing","345","48","1","2014","","","","","",""
"Jennah Ikan Asin","Produksi Ikan Asin","60.85","9.5","3","2014","","","","","",""
"Petani Astuti","Petani Cabe","53.5","18","2","2014","","","","","",""
"Naimah Ikan Asin","Produksi Ikan Asin","28.47","5.9","1","2014","","","","","",""
"Usaha Sagu","Sagu","106.8","18","3","2012","","","","","",""
"Petani Kangkung","Perkerbunan Kangkung","23.75","27","2","2014","","","","","",""
"Perkebunan Terong","Perkebunan Terong","27.6","13.5","2","2014","","","","","",""
"Petani Bayam","Pertanian Bayam","28.5","60","3","2014","","","","","",""
"Peternak Bandeng","Peternak Bandeng","144.5","25","2","2014","","","","","",""
"Krupuk Unyil Agnes","Snak Krupuk Unyil","16.67","6","1","2014","","","","","",""
"Budidaya Jamur","Buduidaya Jamur Dan Pembibitan","78.5","198","5","2014","","","","","",""
"Budidaya Ikan","Budidaya Ikan","237","384","1","2015","","","","","",""
"Kebun Lada Syahril","Penanaman Lada","67","59.04","1","2016","","","","","",""
"Kebun Lada Zumardi","Penanaman Lada","111","61.5","2","2016","","","","","",""
"Perkebunan Salak","Perkebunan Salak","5","6","1","2015","","","","","",""
"Kub Berkat Usaha","Nelayan Tangkap","391","184.2","20","2016","","","","","",""
"Kub Rizqi","Nelayan Tangkap","572.8","26","22","2016","","","","","",""
"Kue Darma Rini","Industri","460","518.4","3","2016","","","","","",""
"Pedagang Ikan Keliling","Pedagang Ikan","22.15","59.31","1","2016","","","","","",""
"Watawa Sau Bil Haq","Nelayan Udang Mantis","456.8","96","20","2016","","","","","",""
"Pedagang Ikan Keliling","Pedagang Ikan","22.45","59.31","1","2016","","","","","",""
"Petani Padi","Petani Padi","170","40.5","2","2016","","","","","",""
"Kebun Lada Rosmina","Pertanian","65","49.2","3","2016","","","","","",""
"Kacang Panjang Dan Cabe Rawit Marfuah","Pertanian","336","78","2","2016","","","","","",""
"Pepai Santoso","Penampungan Ikan Tawar (Pepai)","173","360","5","2014","","","","","",""
"Kayu Api Ibrahim","Pengolahan Kayu Api","6","48","1","2014","","","","","",""
"Madu Asli Alami","Madu Lebah","18","60","2","2014","","","","","",""
"Pertanian Soukin","Pertanian","1,026","520","2","2018","","","","","",""
"Pertanian Radi","Pertanian","26.2","18.2","2","2018","","","","","",""
"Perkebunan","Pertanian","174","143","2","2018","","","","","",""
"Sutrisno Dagang","Perikanan","7.3","6.5","2","2018","","","","","",""
"Ubi Daun Samsinar","Singkong Daun","537","75","2","2016","","","","","",""
"Kebun Sawit Cici","Perkebunan Sawit","143","360","4","2016","","","","","",""
"Toko Pakan Ternak","Jual Pakan Ternak","1,498.50","48","1","2014","","","","","",""
"Nasi Gemuk Poniah","Nasi Gemuk","2.5","90","1","2014","","","","","",""
"Ternak Ayam Kampung","Ternak Ayam Kampung","41.5","144","1","2014","","","","","",""
"Petani Padi","Petani Padi","54.72","27","1","2016","","","","","",""
"Petani Padi","Petani Padi","50.5","47.25","2","2016","","","","","",""
"Petani Sayur","Sayur","5.2","9.6","2","2016","","","","","",""
"Sanusi","Perikanan","18.9","52","2","2018","","","","","",""
"Perabot Yoakim","Pembuatan Perabot Rumah Tangga","190","144","2","2012","","","","","",""
"Depot Air Minum Samuel","Depot Air Minum","635","348","2","2012","","","","","",""
"Foto Copy Kencana Mulia","Foto Copy","582","66","3","2012","","","","","",""
"Muhammad Ali Makmur","Keripik Pisang","75","283","5","2012","","","","","",""
"Ukhsinun","Pembuatan Sangkar Burung","62","54","3","2009","","","","","",""
"Caping","Coping","79","52","6","2009","","","","","",""
"Siti Sangadah","Bata","24","79","6","2009","","","","","",""
"Caping","Caping","66","80","4","2009","","","","","",""
"Adi Jaya Konveksi","Topi","127","68","4","2009","","","","","",""
"Sani","Percetakan","128.5","285","1","2008","","","","","",""
